id	species	type
R5021	Brassica.napus	Spring
R5022	Brassica.napus	Spring
R5023	Brassica.napus	Spring
R5024	Brassica.napus	Semi-Winter
R5025	Brassica.napus	Semi-Winter
R5026	Brassica.napus	Spring
R5027	Brassica.napus	Spring
R5028	Brassica.napus	Spring
R5029	Brassica.napus	Spring
R5030	Brassica.napus	Semi-Winter
R5031	Brassica.napus	Semi-Winter
R5032	Brassica.napus	Semi-Winter
R5033	Brassica.napus	Semi-Winter
R5034	Brassica.napus	Semi-Winter
R5035	Brassica.napus	Semi-Winter
R5036	Brassica.napus	Semi-Winter
R5037	Brassica.napus	Semi-Winter
R5038	Brassica.napus	Semi-Winter
R5039	Brassica.napus	Semi-Winter
R5040	Brassica.napus	Semi-Winter
R5041	Brassica.napus	Semi-Winter
R5042	Brassica.napus	Semi-Winter
R5043	Brassica.napus	Semi-Winter
R5044	Brassica.napus	Semi-Winter
R5045	Brassica.napus	Spring
R5046	Brassica.napus	Semi-Winter
R5047	Brassica.napus	Spring
R5048	Brassica.napus	Semi-Winter
R5049	Brassica.napus	Spring
R5050	Brassica.napus	Semi-Winter
R5051	Brassica.napus	Semi-Winter
R5052	Brassica.napus	Semi-Winter
R5053	Brassica.napus	Semi-Winter
R5054	Brassica.napus	Semi-Winter
R5055	Brassica.napus	Semi-Winter
R5056	Brassica.napus	Semi-Winter
R5057	Brassica.napus	Semi-Winter
R5058	Brassica.napus	Semi-Winter
R5059	Brassica.napus	Semi-Winter
R5060	Brassica.napus	Semi-Winter
R5061	Brassica.napus	Semi-Winter
R5062	Brassica.napus	Semi-Winter
R5063	Brassica.napus	Semi-Winter
R5064	Brassica.napus	Semi-Winter
R5065	Brassica.napus	Semi-Winter
R5066	Brassica.napus	Semi-Winter
R5067	Brassica.napus	Semi-Winter
R5068	Brassica.napus	Semi-Winter
R5069	Brassica.napus	Semi-Winter
R5070	Brassica.napus	Semi-Winter
R5071	Brassica.napus	Semi-Winter
R5072	Brassica.napus	Semi-Winter
R5073	Brassica.napus	Semi-Winter
R5074	Brassica.napus	Semi-Winter
R5075	Brassica.napus	Semi-Winter
R5076	Brassica.napus	Semi-Winter
R5077	Brassica.napus	Semi-Winter
R5078	Brassica.napus	Semi-Winter
R5079	Brassica.napus	Semi-Winter
R5080	Brassica.napus	Semi-Winter
R5081	Brassica.napus	Semi-Winter
R5082	Brassica.napus	Semi-Winter
R5083	Brassica.napus	Semi-Winter
R5084	Brassica.napus	Semi-Winter
R5085	Brassica.napus	Semi-Winter
R5086	Brassica.napus	Semi-Winter
R5087	Brassica.napus	Semi-Winter
R5088	Brassica.napus	Semi-Winter
R5089	Brassica.napus	Semi-Winter
R5090	Brassica.napus	Winter
R5091	Brassica.napus	Semi-Winter
R5092	Brassica.napus	Semi-Winter
R5093	Brassica.napus	Semi-Winter
R5094	Brassica.napus	Semi-Winter
R5095	Brassica.napus	Semi-Winter
R5096	Brassica.napus	Semi-Winter
R5097	Brassica.napus	Winter
R5098	Brassica.napus	Semi-Winter
R5099	Brassica.napus	Semi-Winter
R5100	Brassica.napus	Semi-Winter
R5101	Brassica.napus	Semi-Winter
R5102	Brassica.napus	Spring
R5103	Brassica.napus	Semi-Winter
R5104	Brassica.napus	Semi-Winter
R5105	Brassica.napus	Semi-Winter
R5106	Brassica.napus	Semi-Winter
R5107	Brassica.napus	Semi-Winter
R5108	Brassica.napus	Semi-Winter
R5109	Brassica.napus	Semi-Winter
R5110	Brassica.napus	Semi-Winter
R5111	Brassica.napus	Spring
R5112	Brassica.napus	Semi-Winter
R5113	Brassica.napus	Semi-Winter
R5114	Brassica.napus	Semi-Winter
R5115	Brassica.napus	Semi-Winter
R5116	Brassica.napus	Semi-Winter
R5117	Brassica.napus	Semi-Winter
R5118	Brassica.napus	Semi-Winter
R5119	Brassica.napus	Winter
R5120	Brassica.napus	Spring
R5121	Brassica.napus	Semi-Winter
R5122	Brassica.napus	Spring
R5123	Brassica.napus	Semi-Winter
R5124	Brassica.napus	Semi-Winter
R5125	Brassica.napus	Semi-Winter
R5126	Brassica.napus	Semi-Winter
R5127	Brassica.napus	Semi-Winter
R5128	Brassica.napus	Semi-Winter
R5129	Brassica.napus	Semi-Winter
R5130	Brassica.napus	Semi-Winter
R5131	Brassica.napus	Semi-Winter
R5132	Brassica.napus	Semi-Winter
R5133	Brassica.napus	Semi-Winter
R5134	Brassica.napus	Semi-Winter
R5135	Brassica.napus	Semi-Winter
R5136	Brassica.napus	Semi-Winter
R5137	Brassica.napus	Winter
R5138	Brassica.napus	Spring
R5139	Brassica.napus	Semi-Winter
R5140	Brassica.napus	Semi-Winter
R5141	Brassica.napus	Semi-Winter
R5142	Brassica.napus	Semi-Winter
R5143	Brassica.napus	Semi-Winter
R5144	Brassica.napus	Semi-Winter
R5145	Brassica.napus	Semi-Winter
R5146	Brassica.napus	Semi-Winter
R5147	Brassica.napus	Spring
R5148	Brassica.napus	Winter
R5149	Brassica.napus	Semi-Winter
R5150	Brassica.napus	Semi-Winter
R5151	Brassica.napus	Semi-Winter
R5152	Brassica.napus	Semi-Winter
R5153	Brassica.napus	Semi-Winter
R5154	Brassica.napus	Spring
R5155	Brassica.napus	Semi-Winter
R5156	Brassica.napus	Semi-Winter
R5157	Brassica.napus	Semi-Winter
R5158	Brassica.napus	Semi-Winter
R5159	Brassica.napus	Semi-Winter
R5160	Brassica.napus	Semi-Winter
R5161	Brassica.napus	Semi-Winter
